DATE,ER VOICE TRAFFIC   2G /3G,ER BUSY TRAFFIC 2G/3G,ZTE VOICE TRAFFIC 2G/3G,ZTE BUSY TRAFFIC 2G/3G,VLR COUNT,SITE COUNT 2G/3G/4G,TCS SITE COUNT,DATA VOL 2G(GB),DATA VOL 3G(GB),DATA VOL ZTE 4G(GB),DATA VOL TCS 4G(GB),DATA VLR 2G,DATA VLR 3G,DATA VLR ZTE 4G,DATA VLR TCS 4G,VOLTE TRAFFIC ZTE,VOLTE TRAFFIC TCS
09-03-2024,1455/913,129/77,52325/37950,4545/3135,731737,1226/1122/150,,294,35343.4,3702.93,,42544,98677,7327,,420.5,
10-03-2024,1579/921,145/89,50992/35754,4781/3144,742927,1226/1122/150,,274,35377.8,3765.94,,42544,98677,7327,,454.4,
11-03-2024,1568/909,141/81,53763/40631,4792/3387,751869,1226/1122/150,,280,34161.3,3609.73,,38701,98830,9031,,462.6,
12-03-2024,1623/1028,160/94,53522/40099,4940/3454,762293,1226/1122/150,,288,34741.8,3643.48,,38786,99044,8906,,456.5,
13-03-2024,1504/1017,137/88,52849/40074,4976/3479,773043,1226/1122/150,,293,34812.1,3702.29,,40210,99028,8961,,408.9,
14-03-2024,1607/979,133/84,54170/40930,4954/3501,785708,1226/1122/150,,299,35305.4,3831.35,,42658,99490,9058,,437.5,
15-03-2024,1671/1008,151/99,52402/40258,4725/3466,799375,1226/1122/150,,297,34773.5,3677.25,,42658,99490,9058,,438.2,
16-03-2024,1417/957,124/78,52972/39394,5096/3337,808457,1226/1122/150,,307,35333.1,3670.38,,42658,99490,9058,,414.3,
17-03-2024,1395/951,147/78,50232/35397,4788/3166,815367,1226/1122/150,,285,35048.1,3645,,42658,99490,9058,,413.3,
18-03-2024,1718/958,157/78,53078/39454,5041/3270,822920,1226/1122/150,,295,34914.5,3567.56,,43205,98121,8924,,426,
19-03-2024,1679/933,163/90,52941/39609,4964/3323,832109,1226/1122/150,,319,34378.9,3595.29,,42145,96898,8909,,453,
20-03-2024,1598/871,145/72,52899/38709,4802/3129,841297,1226/1122/150,,308,34033.1,3461.6,,42940,97535,8856,,386,
21-03-2024,1557/995,146/78,53181/39569,4945/3349,850214,1226/1122/150,,309,34320.5,3607.29,,41180,98735,8998,,463.5,
22-03-2024,1690/970,157/80,50964/38168,4653/3168,859049,1226/1122/150,,310,34580.9,3695.21,,42028,99474,9244,,424.4,
23-03-2024,1578/931,138/78,50624/36833,4502/2992,869769,1226/1122/150,,309,34675.9,3766.17,,43392,98946,9274,,414.3,
24-03-2024,1565/933,146/78,47361/32645,4274/2827,875524,1226/1122/150,,284,34753.9,3798.88,,42060,98317,9169,,413.3,
25-03-2024,1591/935,155/74,44501/30032,4005/2484,880231,1226/1122/150,,282,35672.6,3923.79,,39035,95513,8699,,356.3,
26-03-2024,1344/886,127/81,44517/31041,3901/2565,887190,1226/1122/150,,291,35786.5,3762.56,,39817,96470,8547,,354.3,
27-03-2024,1393/997,128/86,48738/35839,4364/3007,892946,1226/1122/150,,303,35308,3886.29,,41785,98039,9262,,415.1,
28-03-2024,1370/992,133/84,50495/37834,4598/3170,900975,1226/1122/150,,299,34336.3,3920.47,,41662,98342,9184,,405.6,
29-03-2024,1476/972,135/85,48981/36163,4454/3112,906812,1226/1122/150,,292,27748.9,1366.69,,39906,98554,9055,,130.6,
30-03-2024,1380/1022,137/82,50866/38227,4595/3146,914266,1226/1122/150,,288,33030,3886.29,,41255,98648,9104,,415.1,
31-03-2024,1426/899,154/84,46842/34561,4354/3113,923013,1226/1122/150,,285,33032.7,3920.47,,41357,97424,8482,,405.6,
01-04-2024,1627/1015,144/78,51501/39408,4518/3280,581240,1226/1122/150,,294,33837.5,2440.12,,40582,99059,8875,,316.14,
02-04-2024,1515/946,135/75,51971/40220,4560/3382,615600,1226/1122/150,,288,34030.2,3510.88,,41538,99756,8917,,432.44,
03-04-2024,1483/993,126/81,50946/40507,4648/3350,637341,1226/1122/150,,274,33486.7,3009.39,,40926,99557,8460,,358.72,
04-04-2024,1411/935,140/95,51613/39712,4829/3402,654661,1226/1122/150,,282,33434.4,3548.07,,40958,99631,8908,,427.39,
05-04-2024,1557/832,168/74,51445/39312,4565/3325,669786,1226/1122/150,,301,34393.4,3796.27,,42033,98175,9088,,418.46,
06-04-2024,1492/999,136/79,51702/39930,4500/3268,681085,1226/1122/150,,290,34354,3419.2,,41416,99230,9074,,392.5,
07-04-2024,1386/908,125/74,48562/35093,4478/3077,692654,1226/1122/150,,292,34448.5,2957.36,,42978,97984,8694,,280.8,
08-04-2024,1449/952,132/79,50892/40028,4497/3271,703159,1226/1122/150,,286,33366.5,3296.61,,41813,100015,8810,,405.7,
09-04-2024,1475/901,125/77,51325/39967,4476/3210,716062,1226/1122/150,,288,33946.8,3684.99,,42887,100016,8893,,425.7,
10-04-2024,1442/930,136/72,40466/32292,4466/3303,727839,1226/1122/150,,206,33140.2,3660.15,,42492,100307,8997,,402.2,
11-04-2024,1386/893,134/79,51316/37542,4485/3074,735741,1226/1122/150,,293,35501.9,3856.69,,42035,98172,9050,,409.3,
12-04-2024,1396/934,144/70,51090/38901,4466/3128,743003,1226/1122/150,,313,34303.2,3691.25,,42293,98636,9103,,427.8,
13-04-2024,1380/962,145/71,50095/37555,4220/2979,753546,1226/1122/150,,301,34544.9,3593.36,,42662,98876,8881,,376.3,
14-04-2024,1395/901,139/83,47317/34090,4240/2921,762852,1226/1122/150,,279,34899.3,3706.28,,42553,98237,8920,,377.9,
15-04-2024,1508/957,151/74,50675/39170,4284/3170,770277,1226/1122/150,,288,33384.5,3640.76,,42700,99540,9081,,433.5,
16-04-2024,1454/990,133/71,50379/39590,4088/3035,779555,1226/1122/150,,301,34237.2,3693.75,,42061,99067,9367,,454.9,
17-04-2024,1267/738,115/59,44145/32453,3830/2669,789092,1226/1122/150,,292,34072.8,3291.28,,41942,96342,8739,,321.6,
18-04-2024,1467/961,137/72,49516/37829,3971/3008,800671,1226/1122/150,,296,33456.4,3107.55,,41812,97565,8649,,391.8,
19-04-2024,1552/822,139/55,49289/37471,4025/2973,811147,1226/1122/150,,294,32693,3248.68,,41015,96705,8817,,391,
20-04-2024,1628/895,171/72,48939/37381,3975/2993,823820,1226/1122/150,,285,32671.6,3249.82,,42272,96847,8733,,403.2,
21-04-2024,1678/910,144/76,45994/33834,3917/2775,830984,1226/1122/150,,283,32780.9,3280.27,,42176,95681,8377,,374.2,
22-04-2024,1499/914,124/76,49966/39186,4321/3163,838381,1226/1122/150,,287,32236,"3,161.93",,41310,96777,8436,,416.5,
23-04-2024,1524/958,144/91,49901/38035,4242/3056,847065,1226/1122/150,,292,32949,3288.05,,42539,97459,8681,,405.4,
24-04-2024,1420/916,135/84,50347/38838,4141/3122,858074,1226/1122/150,,283,32922.8,3374.7,,41787,98195,8770,,452.53,
25-04-2024,1417/890,146/78,50676/39547,4210/3304,865543,1226/1122/150,,298,33642.7,3478.6,,40263,98059,8924,,466.7,
26-04-2024,1388/825,132/62,48728/37681,4182/3085,874784,1226/1122/150,,297,33509.6,3455.3,,40246,97320,8815,,437.94,
27-04-2024,1404/816,128/64,48699/36858,4087/2987,883961,1226/1122/150,,294,34264,3543.3,,40824,97035,8514,,423.6,
28-04-2024,1430/827,140/64,46542/33926,4058/2956,888627,1226/1122/150,,285,34689.4,3706.2,,40262,96472,8483,,378.31,
