BA,OA,District,Village/Site,Village Code,Site ID,AT-3 Date,LOT 
Ranchi,RCH,RANCHI,BURUHATU,VCDM01647,UVJHRCH00140,14-Jun-24,LOT-11
Ranchi,RCH,LOHARDAGA,Bul Bul,362907,UVJHRCH00367,13-Jun-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Bedo Chitrgora / Chhapri Bathaan,358703,UVJHDMK00628,08-May-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Bedo Basko / Srirampur,358697,UVJHDMK00588,08-May-24,LOT-11
Jamshedpur,JSR,PURBI SINGHBHUM,Barshol,364344,UVJHJSR00059,11-Jun-24,LOT-11
Ranchi,RCH,SIMDEGA,Barpanichhota,376433,UVJHRCH00419,18-Jun-24,LOT-11
Ranchi,HZB,GIRIDIH,Bargarha,351595,UVJHHZB00322,25-May-24,LOT-11
Dhanbad,DMK,Dumka,Ararikajbe,370215,UVJHDMK00566,29-May-24,LOT-11
Ranchi,HZB,HAZARIBAGH,Pipratanr/Chalanga,368003,UVJHHZB00269,20-Apr-24,LOT-11
Ranchi,HZB,HAZARIBAGH,Mainukhar/Gurmorawa,367632,UVJHHZB00107,24-May-24,LOT-11
