BA,OA,District,Village/Site,Village Code,Site ID,AT-3 Date,LOT 
Dhanbad,DNB,BOKARO,Banchatra,362395,UVJHDNB00049,7.5.24,LOT-3
Ranchi,HZB,CHATRA,Tithibhargaon,348507,UVJHHZB00342,28.3.24,LOT-3
Jamshedpur,JSR,PURBI SINGHBHUM,Chaluniya,364313,UVJHJSR00325,1.5.24,LOT-3
Ranchi,HZB,CHATRA,Jobeya,348501,UVJHHZB00334,28.3.24,LOT-3
Ranchi,DTJ,Garhwa,Nagwa,347838,UVJHDTJ00478,30.3.24,LOT-3
Ranchi,RCH,Gumla,Rengola,376381,UVJHRCH00426,16.4.24,LOT-4
Jamshedpur,JSR,PURBI SINGHBHUM,Bhitatguti,VCDM01637,UVJHJSR00221,13.5.24,LOT-4
Ranchi,RCH,Gumla,Lotwa,376351,UVJHRCH00011,19.4.24,LOT-4
Jamshedpur,JSR,PURBI SINGHBHUM,Dhohni,363949,UVJHJSR00163,21.3.24,LOT-4
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Kokorbo,377172,UVJHJSR00436,9.5.24,LOT-4
Ranchi,RCH,KHUNTI,Kumhardih,375169,UVJHRCH00296,10.5.24,LOT-4
Jamshedpur,JSR,PURBI SINGHBHUM,Dandudih,363242,UVJHJSR00169,13.5.24,LOT-4
Ranchi,RCH,KHUNTI,Marangburu,375378,UVJHRCH00387,10.5.24,LOT-4
